trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.97}",20,9,-9.777245435495665,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9409}",30,0,-222.73199981908886,"{0: 18, 1: 1, 2: 5, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.912673}",30,0,-93.7460753761745,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8852928099999999}",20,0,-138.81313537362573,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8587340256999999}",25,0,-110.88020611461276,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.8329720049289998}",30,0,-187.25845777971827,"{0: 18, 1: 2, 2: 4, 3: 4, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.8079828447811298}",20,0,-71.65516520517745,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.7837433594376959}",20,0,-99.06955055232177,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.7602310586545651}",25,0,-90.6829408964175,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.7374241268949281}",20,0,-129.47903504476125,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.7153014030880802}",25,0,-115.09410834456791,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.6938423609954377}",25,0,-136.5192572132312,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.6730270901655746}",35,8,-45.19969369856554,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.6528362774606074}",20,0,-81.50046392789312,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.6332511891367891}",20,0,-69.35079784293146,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.6142536534626855}",25,14,-34.0507885559242,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.5958260438588049}",30,0,-57.138434643289045,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.5779512625430407}",20,7,-32.50119697969481,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.5606127246667495}",35,0,-111.67837925623033,"{0: 27, 1: 2, 2: 2, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.543794342926747}",20,0,-44.81549096010553,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.5274805126389446}",20,0,-42.7345722197058,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.5116560972597762}",25,0,-5.933566255415025,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.49630641434198286}",25,0,-56.79721604893759,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.48141722191172337}",20,13,-6.785628225932025,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.4669747052543717}",25,0,-24.60902716079466,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.4529654640967405}",20,15,2.6599814685838252,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.4393765001738383}",20,9,2.7841034895687056,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.42619520516862314}",30,20,12.344868315065607,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.4134093490135644}",30,8,-36.208127742232165,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.4010070685431575}",20,0,-5.331614346953331,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.38897685648686275}",20,12,-21.32127948225986,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.37730755079225686}",30,12,-56.286554174980445,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.36598832426848915}",20,6,23.6220361185089,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.35500867454043444}",20,12,-29.983412944951468,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.3443584143042214}",20,0,-6.143296578781488,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.33402766187509475}",25,9,-42.01804088056611,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.3240068320188419}",30,8,-15.221871203138448,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.31428662705827665}",30,18,-60.20739719022078,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.30485802824652836}",25,17,7.135268460383945,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.29571228739913247}",20,9,-2.3080927258125548,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.2868409187771585}",25,0,14.622592364480646,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.2782356912138437}",20,9,19.41934838024077,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.2698886204774284}",25,12,31.366979412787362,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.26179196186310555}",20,11,-49.757347309142204,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.25393820300721237}",30,20,9.043265772152182,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.246320056916996}",25,0,16.61362101921647,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.2389304552094861}",20,13,3.697184033304981,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.23176254155320153}",20,12,-29.02709455509428,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.22480966530660546}",35,13,-15.60689108892049,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.2180653753474073}",25,14,1.4647933923828742,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.21152341408698508}",25,8,-23.395879689149563,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.2051777116643755}",20,7,17.88019601359177,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.19902238031444425}",25,13,19.98911182095342,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.19305170890501092}",25,11,26.381926425784144,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.18726015763786058}",25,15,4.37187196084294,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.18164235290872474}",25,15,20.129136854382516,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.176193082321463}",20,0,-17.452896350115044,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.1709072898518191}",30,16,25.01464842712403,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.16578007115626453}",25,16,3.0650804477068636,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.1608066690215766}",20,3,8.040825684789318,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.1559824689509293}",20,15,11.586572616884894,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.15130299488240143}",20,6,26.152478299267248,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.14676390503592937}",25,1,28.496726139781632,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
