trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.8478411077269,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.65704128845294,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.17179140832401,"{0: 10, 1: 0, 2: 8, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.57851386502185,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-226.17339018561995,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.21332113813205,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.19411224672089,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.29889766449259,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.643898136311414,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.50995685240142,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.11003174802751,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-180.78302461065314,"{0: 23, 1: 2, 2: 6, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,2,-53.25758373175226,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.4120002755886,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.63980078426548,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.52639691775295,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,17,-5.147152918951074,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.59816169206435,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.230315930729965,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,7,-121.88404971067567,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.32370968022668,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-69.7004467738736,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.65532741410675,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-204.44884743012133,"{0: 14, 1: 6, 2: 7, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.878854349166886,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.85706185437297,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-191.7057991964694,"{0: 7, 1: 0, 2: 10, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.0434584070014,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.11692630965528,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.28584612388545,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
